Gene_id,Ref_gene_id,Locus,Stol-veg-CT_FPKM,Stol-veg-SS_FPKM,Ssen-veg-CT_FPKM,Ssen-veg-SS_FPKM,Stol-rep-CT_FPKM,Stol-rep-SS_FPKM,Ssen-rep-CT_FPKM,Ssen-rep-SS_FPKM
XLOC_000204,Ca_00033,Ca1:329812-336562,2.38282,1.57752,0.750518,1.61076,1.9204,2.57584,2.23774,1.73534
XLOC_001848,Ca_00034,Ca1:339233-341849,47.2498,30.1081,23.0094,30.694,15.3671,11.7434,22.4092,16.2988
XLOC_000205,Ca_00035,Ca1:344505-347942,5.66673,2.51091,2.76288,3.61759,3.31612,3.01007,4.41383,3.8367
XLOC_001849,Ca_00036,Ca1:348886-355383,6.9868,4.61665,2.5139,3.56001,3.09553,3.2273,2.52527,2.77725
XLOC_001850,Ca_00037,Ca1:356510-361504,34.6534,13.1976,14.1988,17.8678,8.86382,6.35287,9.45132,10.455
XLOC_000206,Ca_00038,Ca1:370282-375777,23.3558,7.39956,12.0008,9.35014,7.34949,6.83117,7.72091,6.37658
XLOC_000207,Ca_00039,Ca1:377804-383884,13.1421,4.11328,5.79086,5.98856,3.82646,4.29157,3.94467,3.69703
XLOC_001851,Ca_00040,Ca1:388368-391206,12.4121,5.80823,10.3094,8.45199,12.4225,8.36673,9.38072,7.8375
XLOC_000208,Ca_00041,Ca1:393923-397459,1.2184,1.78436,3.17013,1.54179,3.82084,3.05676,2.72248,2.95166
XLOC_001852,Ca_00042,Ca1:400989-401397,358.096,57.2431,64.1755,72.222,52.4852,19.7718,48.2779,42.1399
XLOC_000209,Ca_00043,Ca1:405178-408583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_001853,Ca_00044,Ca1:410285-412676,19.7084,6.99207,4.55625,5.86532,4.06074,3.37977,6.84491,4.66657
XLOC_001854,Ca_00045,Ca1:414350-417290,77.5686,29.2421,54.5425,45.533,11.7957,6.59067,14.0501,16.254
XLOC_000210,Ca_00046,Ca1:420104-423974,1.55854,0.871628,0.0,0.100739,0.195642,0.086435,0.0585493,0.0458962
XLOC_001855,Ca_00047,Ca1:424573-425029,3.09535,0.466607,0.255188,1.89227,0.940305,0.332579,3.11434,1.07607
XLOC_001856,Ca_00048,Ca1:426011-432541,60.0659,19.0467,16.2936,20.9084,13.765,10.7261,17.8065,12.9045
XLOC_000211,Ca_00049,Ca1:433711-437251,3.02844,2.36232,2.16289,2.41233,3.23619,4.3788,6.3337,5.01504
XLOC_001857,Ca_00050,Ca1:437899-443251,2.8708,1.91848,1.01192,0.576262,1.17163,1.2877,1.4402,1.02166
XLOC_000212,Ca_00051,Ca1:445608-454702,0.241411,0.346635,0.00434215,0.0723407,0.154636,0.1443,0.0821866,0.0382809
XLOC_001858,Ca_00052,Ca1:455452-473237,11.6173,6.75742,8.13806,6.46484,5.85255,5.4084,10.1848,6.33011
XLOC_001858,Ca_00053,Ca1:455452-473237,11.6173,6.75742,8.13806,6.46484,5.85255,5.4084,10.1848,6.33011
XLOC_000213,Ca_00054,Ca1:482543-486095,20.7571,4.68777,4.38773,4.79965,4.44297,3.55831,5.93957,3.75411
XLOC_001859,Ca_00055,Ca1:494425-495820,0.524805,0.277844,0.0135176,0.0253057,0.49294,0.584858,0.15124,0.193816
XLOC_001860,Ca_00056,Ca1:500200-506206,0.0,0.0498357,0.0211836,0.249747,0.0516724,0.669401,0.115989,0.148449
XLOC_001861,Ca_00057,Ca1:507556-523799,9.939,3.75875,2.2031,2.77184,4.92941,4.20627,7.57904,4.84816
XLOC_000215,Ca_00058,Ca1:507556-523799,37.1203,9.52786,11.4706,16.1299,5.47618,5.137,5.21823,6.29887
XLOC_001861,Ca_00059,Ca1:507556-523799,9.939,3.75875,2.2031,2.77184,4.92941,4.20627,7.57904,4.84816
XLOC_000216,Ca_00060,Ca1:526377-535517,3.79502,3.26754,2.12837,2.42276,2.84351,3.6808,3.66062,2.90479
XLOC_001862,Ca_00061,Ca1:536512-538856,0.0,0.0,0.00554784,0.0,0.0,0.0165468,0.0,0.0
XLOC_001863,Ca_00062,Ca1:540222-541331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199784
XLOC_000217,Ca_00063,Ca1:549637-576600,9.11877,8.82424,5.51523,4.13432,7.83968,8.91866,6.51149,5.77107
XLOC_000217,Ca_00064,Ca1:549637-576600,9.11877,8.82424,5.51523,4.13432,7.83968,8.91866,6.51149,5.77107
XLOC_000218,Ca_00065,Ca1:577868-583336,3.82547,1.98028,2.01969,6.01813,1.52961,2.93712,1.63307,1.28969
XLOC_000219,Ca_00066,Ca1:585602-594264,1.10921,1.05426,0.671512,0.576163,1.51403,1.64117,0.980842,0.89326
XLOC_001864,Ca_00067,Ca1:595161-600727,1.08361,0.531987,0.38289,0.442595,0.411204,0.887057,0.270834,0.477324
XLOC_000220,Ca_00068,Ca1:604403-607181,0.258903,0.210248,0.0104816,0.0,0.00979032,0.246077,0.0893934,0.0512886
XLOC_001866,Ca_00069,Ca1:613485-619293,11.114,5.57837,6.98775,8.76908,7.15569,11.9386,8.8519,11.4057
XLOC_001867,Ca_00070,Ca1:622061-622505,3.86584,3.5907,2.09276,3.50454,6.78465,12.1364,13.9922,14.188
XLOC_000221,Ca_00071,Ca1:625727-627073,0.0388098,0.265579,0.0260334,0.114264,0.110086,0.249448,0.323722,0.276562
XLOC_001868,Ca_00072,Ca1:627754-630776,3.5527,1.01171,0.00964104,0.238302,0.6095,0.312991,0.552738,0.15092
XLOC_000222,Ca_00073,Ca1:635845-638635,0.0,0.0,0.0,0.0,0.0,0.00721001,0.0353023,0.0
XLOC_001869,Ca_00074,Ca1:638985-641747,0.149819,0.718004,0.102271,0.649069,0.382836,0.783698,1.07757,0.519011
XLOC_000223,Ca_00075,Ca1:642437-648660,0.721861,0.889323,0.339433,0.457224,0.786154,1.74538,0.94063,0.929198
XLOC_001870,Ca_00076,Ca1:648952-649555,0.0,0.0,0.0475108,0.0,0.12385,0.0455009,0.0393808,0.0533364
XLOC_000224,Ca_00077,Ca1:652922-654558,2.46196,1.09388,0.594982,1.54488,0.46236,0.565466,0.429456,0.263857
XLOC_001871,Ca_00078,Ca1:654590-659226,1.248,0.654119,1.0339,1.05571,0.452355,0.557752,0.388116,0.722227
XLOC_001872,Ca_00079,Ca1:660991-666979,5.45691,3.4473,2.65738,3.8707,2.35895,2.96676,2.8677,2.08991
XLOC_000225,Ca_00080,Ca1:669834-672624,1.13157,0.906286,0.907848,0.527908,1.48832,1.87011,1.69295,1.08483
XLOC_000226,Ca_00081,Ca1:674885-679337,7.16775,3.39231,6.09399,5.13956,2.3066,1.75834,3.76053,2.91206
XLOC_000228,Ca_00082,Ca1:684312-687584,0.0,0.00416993,0.0,0.0,0.00610461,0.0352129,0.008502,0.00643337
XLOC_000229,Ca_00083,Ca1:689735-693446,14.5683,6.72591,3.56252,4.96937,3.829,3.59364,3.54211,2.19746
XLOC_000230,Ca_00084,Ca1:694424-697562,5.61377,4.24995,1.91533,7.51935,3.27518,4.15518,2.88966,2.8465
XLOC_001873,Ca_00085,Ca1:698624-700747,15.4161,9.91456,13.248,12.9777,17.9966,19.5548,8.72932,18.5692
XLOC_000231,Ca_00086,Ca1:703587-719070,0.243593,0.221879,0.0305605,0.172137,0.195424,0.215333,0.176809,0.143863
XLOC_000232,Ca_00087,Ca1:719676-722854,1.40824,1.19668,0.225458,0.894825,0.666135,0.617144,0.683689,0.299101
XLOC_000233,Ca_00088,Ca1:725182-729085,9.89283,6.98806,7.04056,9.02687,6.78874,12.9466,7.42724,10.1147
XLOC_000234,Ca_00089,Ca1:734229-738170,6.58465,2.68403,1.32972,2.45329,3.11483,2.00092,2.0611,2.23106
XLOC_000235,Ca_00090,Ca1:741181-746316,14.692,2.78283,5.60718,7.0741,6.0439,5.39423,5.60773,6.94908
XLOC_001874,Ca_00091,Ca1:741181-746316,0.0294895,0.245134,0.156953,0.25059,0.789928,0.464332,0.125058,1.03471
XLOC_001875,Ca_00092,Ca1:749659-750715,1.34095,0.509816,0.313118,0.635675,0.122095,0.171137,0.311166,0.256859
XLOC_000236,Ca_00093,Ca1:752322-753657,0.254716,0.088298,0.00797968,0.0360474,0.0183661,0.0590731,0.174902,0.0605883
XLOC_001876,Ca_00094,Ca1:755159-757888,0.0,0.0,0.0,0.225626,0.0150614,0.0,0.0,0.0
XLOC_000237,Ca_00095,Ca1:768034-774571,0.918197,0.630826,0.611619,0.653819,1.21498,2.30185,0.731671,0.788531
XLOC_001877,Ca_00096,Ca1:776835-780974,36.7754,13.1551,12.7479,14.47,12.1003,8.71004,13.0018,12.2988
XLOC_001878,Ca_00097,Ca1:785085-787511,54.2195,15.017,60.4196,51.5305,21.1068,16.0549,36.444,37.5284
XLOC_001879,Ca_00098,Ca1:788449-790956,0.180333,0.0424383,0.0720196,0.0225609,0.913853,0.256986,0.228146,0.195289
XLOC_001880,Ca_00099,Ca1:807966-810846,0.0,0.0798606,0.0390949,0.0216512,1.9967,0.895052,1.05607,0.745075
XLOC_001881,Ca_00100,Ca1:822046-826222,0.0,0.00786369,0.0265281,0.0104463,0.162757,0.0828032,0.0373152,0.0354751
XLOC_001882,Ca_00101,Ca1:831962-832705,1.91675,0.306877,0.578156,0.275871,0.228565,0.114875,0.141506,0.0390082
XLOC_001883,Ca_00102,Ca1:835788-839259,0.325457,0.952718,0.0627718,0.209257,0.614205,0.897476,3.59512,1.15009
XLOC_001884,Ca_00103,Ca1:840865-844323,2021.29,266.523,1296.08,991.429,229.396,90.5635,319.964,313.298
XLOC_000238,Ca_00103,Ca1:840865-844323,437.568,66.3961,659.933,323.951,75.6568,10.8486,85.9117,133.138
XLOC_000240,Ca_00104,Ca1:847744-864855,7.48813,1.07142,8.90309,2.81619,5.44261,3.0527,5.13078,8.84839
XLOC_000239,Ca_00104,Ca1:847744-864855,55.798,42.0472,30.9717,29.135,45.5515,46.0566,50.6162,50.4914
XLOC_001885,Ca_00105,Ca1:866584-870721,45.1256,7.11932,10.7887,14.7425,7.77901,4.83678,9.66832,8.4932
XLOC_000241,Ca_00106,Ca1:871666-873076,3.22564,0.677935,0.406778,1.20485,1.05709,1.25977,1.08513,1.26978
XLOC_000242,Ca_00107,Ca1:876112-878756,0.294509,0.532634,0.09486,0.250938,0.454228,0.647554,1.06683,0.230929
XLOC_000243,Ca_00108,Ca1:879421-883800,0.0,0.00367888,0.0,0.0,0.00212679,0.00447665,0.0,0.0
XLOC_001886,Ca_00109,Ca1:879421-883800,1605.86,319.123,659.687,757.437,292.566,164.646,448.248,401.014
XLOC_001887,Ca_00110,Ca1:884928-895339,1.1966,1.07327,1.66779,0.967187,0.984904,1.89575,1.6936,1.41826
XLOC_001888,Ca_00111,Ca1:896224-897231,1.37491,0.513414,0.21245,0.484002,0.49531,0.468372,0.887625,0.937446
XLOC_000244,Ca_00112,Ca1:901778-904189,0.258547,0.409421,0.0,0.0,0.126432,0.104599,0.0266557,0.0207194
XLOC_001889,Ca_00113,Ca1:904553-906807,2.23057,1.45091,0.637954,0.509029,1.0513,1.477,0.807288,1.52308
XLOC_000245,Ca_00114,Ca1:907535-915072,26.4172,5.98449,2.36598,4.20142,4.9794,3.03542,2.66114,3.83077
XLOC_001890,Ca_00115,Ca1:907535-915072,6.43866,3.16588,1.38243,1.30783,6.40704,2.37026,3.62019,1.26765
XLOC_000246,Ca_00116,Ca1:925734-931347,6.49341,7.13779,5.7636,4.07333,6.794,7.82327,7.68084,6.13477
XLOC_001891,Ca_00117,Ca1:932509-939237,11.7895,3.62539,4.74477,4.24673,3.08275,2.07188,3.45116,4.32316
XLOC_000247,Ca_00118,Ca1:948053-952972,0.752663,0.230255,0.0279571,0.0685317,0.00918435,0.0610125,0.212091,0.205365
XLOC_001892,Ca_00119,Ca1:953742-956277,3.09903,0.985493,1.17422,1.1748,1.66127,1.11018,1.8674,1.21198
XLOC_000248,Ca_00120,Ca1:965748-977390,0.0,0.470715,1.04981,0.110198,1.7903,0.619141,0.0589313,0.266912
XLOC_001893,Ca_00121,Ca1:984168-985568,182.637,61.4345,55.2997,94.4741,15.4926,30.4221,32.0177,24.4569
XLOC_001894,Ca_00122,Ca1:988800-994808,0.33537,0.177091,0.24691,0.10128,0.278698,0.577871,0.228114,0.198655
XLOC_000249,Ca_00123,Ca1:996070-1000620,2.30222,0.385461,1.18923,0.72286,0.585773,0.427445,2.26463,0.560642
XLOC_001895,Ca_00124,Ca1:996070-1000620,45.5457,12.0394,8.50132,11.4415,7.7474,4.8936,12.3892,6.56329
XLOC_001896,Ca_00125,Ca1:1001039-1002760,0.861203,0.832757,14.7334,0.450139,20.9534,16.9174,16.502,7.22635
XLOC_000250,Ca_00126,Ca1:1005415-1006904,0.264086,0.0573898,0.0,0.152501,0.0517568,0.0427107,0.077422,0.0351445
XLOC_001897,Ca_00127,Ca1:1007228-1013351,3.28531,3.70869,2.04038,2.84567,6.08033,7.68708,2.74835,2.65258
XLOC_000252,Ca_00128,Ca1:1029231-1035592,10.8596,6.43938,4.20021,6.35652,4.93336,5.66553,9.77352,6.14134
XLOC_000253,Ca_00129,Ca1:1049569-1061483,1.69872,1.49891,1.56155,1.68106,2.79415,3.00103,2.29079,2.34568
XLOC_000254,Ca_00130,Ca1:1062901-1065989,16.0997,8.23088,4.37704,7.93886,6.93733,9.68824,7.03182,4.89477
XLOC_000255,Ca_00131,Ca1:1067183-1069981,0.92059,0.400449,0.384797,0.214314,0.216439,0.259106,0.167863,0.231218
XLOC_000256,Ca_00132,Ca1:1073595-1080046,27.3844,15.4946,6.72808,20.4455,5.23926,7.6082,33.1445,15.8844
XLOC_001901,Ca_00133,Ca1:1073595-1080046,64.1463,18.3283,28.0623,40.0541,8.28216,27.3078,45.3688,31.7648
XLOC_001902,Ca_00134,Ca1:1081352-1087899,1.33827,0.863689,0.719927,0.772997,1.1168,2.4702,1.50224,1.86618
XLOC_001903,Ca_00135,Ca1:1088462-1093344,2.03514,2.12292,0.947461,1.16662,1.76677,2.46689,1.64896,1.61103
XLOC_000258,Ca_00136,Ca1:1104453-1105371,16.9291,4.97941,25.9269,6.36068,9.89685,4.41612,2.32189,5.2448
XLOC_001904,Ca_00137,Ca1:1106649-1111891,21.8547,13.918,10.5846,14.2546,4.93327,5.96002,12.8112,12.0248
XLOC_000259,Ca_00138,Ca1:1113788-1124904,33.7547,6.56342,9.04597,9.13735,4.31237,3.27095,6.91722,5.16136
XLOC_000259,Ca_00139,Ca1:1113788-1124904,33.7547,6.56342,9.04597,9.13735,4.31237,3.27095,6.91722,5.16136
XLOC_000260,Ca_00140,Ca1:1126502-1137410,1.52925,0.619889,0.452068,0.759292,0.632207,0.505803,0.45539,0.623322
XLOC_001905,Ca_00141,Ca1:1138641-1142617,11.6474,4.68195,2.21409,4.57761,1.87593,1.49487,3.70946,1.90416
XLOC_000261,Ca_00142,Ca1:1146020-1148469,0.0420237,0.048214,0.00577372,0.0,0.489765,0.448654,0.0346885,0.0648966
XLOC_000262,Ca_00143,Ca1:1150864-1151191,121.672,43.4852,44.0814,38.2273,249.159,85.9016,46.3618,80.2881
XLOC_000263,Ca_00144,Ca1:1159318-1159621,31.6741,6.28594,3.44231,10.3854,1.37665,1.89312,5.28988,1.9692
XLOC_001906,Ca_00145,Ca1:1162032-1164506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000264,Ca_00146,Ca1:1169949-1171519,0.47941,1.74329,0.482722,1.20645,3.13679,1.2779,2.26001,1.78348
XLOC_000266,Ca_00147,Ca1:1181790-1187091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_001907,Ca_00148,Ca1:1197384-1207340,0.0,0.0,0.0,0.0,0.0,0.00420549,0.0,0.0
XLOC_000267,Ca_00149,Ca1:1213566-1216731,0.0683318,0.114376,0.0723575,0.292547,0.620945,1.77984,0.304192,0.360453
XLOC_001908,Ca_00150,Ca1:1217587-1220924,1.45389,1.64764,0.919898,1.69341,1.6894,3.98653,4.06702,2.87335
XLOC_001909,Ca_00151,Ca1:1224795-1226084,925.124,393.398,358.552,450.678,115.06,62.7621,297.053,193.211
XLOC_000268,Ca_00152,Ca1:1229878-1231625,0.0,0.0,0.0413446,0.0,0.0453536,0.0,0.0223969,0.0372133
XLOC_001910,Ca_00153,Ca1:1243255-1243585,38.4123,18.432,4.158,5.02339,6.49698,8.90387,7.90932,3.36792
XLOC_001911,Ca_00154,Ca1:1249683-1254835,1.06574,3.33544,1.2246,1.97825,3.85989,4.38425,3.89425,3.23173
XLOC_000270,Ca_00155,Ca1:1260156-1270150,0.478355,0.934551,0.598677,0.951282,0.98801,2.02995,0.691576,0.793429
XLOC_000271,Ca_00156,Ca1:1270629-1272635,5.01117,6.61583,4.35467,5.04949,8.42493,9.09519,6.63679,6.72638
XLOC_001912,Ca_00157,Ca1:1274802-1276830,0.0101168,0.0385539,0.0,0.0242893,0.0288299,0.134022,0.0178762,0.00605996
XLOC_001913,Ca_00158,Ca1:1279233-1285683,22.3324,10.39,16.2714,11.4988,12.7458,10.5444,10.8371,12.0193
XLOC_000272,Ca_00159,Ca1:1287631-1294485,23.4414,6.92159,8.97027,12.6481,2.39275,2.27007,4.61726,3.30295
XLOC_001914,Ca_00160,Ca1:1295513-1296807,4.37817,2.27104,3.71409,1.28395,6.09767,7.77246,1.20236,5.43823
XLOC_000273,Ca_00161,Ca1:1297938-1307775,11.994,7.23861,5.45925,5.48222,5.22039,4.10025,5.25058,4.12604
XLOC_001915,Ca_00162,Ca1:1308236-1308608,0.0,0.0,0.0,0.0,0.0,0.0183951,0.0,0.0
XLOC_000274,Ca_00163,Ca1:1311864-1313142,0.0,0.0,0.0,0.0,0.00544988,0.0144524,0.011772,0.0
XLOC_001916,Ca_00164,Ca1:1314498-1315454,149.713,38.5149,36.8676,53.4741,26.3791,13.9182,40.9607,30.2906
XLOC_001917,Ca_00165,Ca1:1321656-1327057,3.22933,2.59485,2.5968,1.86199,2.09277,3.61389,6.51604,3.56242
XLOC_000275,Ca_00166,Ca1:1335571-1336939,0.0,0.0,0.0,0.0,0.016825,0.0101567,0.00736825,0.00501041
XLOC_000276,Ca_00167,Ca1:1337438-1339268,0.01057,0.115557,0.0234806,0.0386446,0.0685718,0.123203,0.0621084,0.0435717
XLOC_001918,Ca_00168,Ca1:1342962-1344946,9.14321,1.27028,1.69756,2.59115,2.02763,1.81859,1.90952,2.65568
XLOC_000277,Ca_00169,Ca1:1353442-1356150,3.83185,1.75898,1.68657,1.19861,3.00351,2.00227,2.01026,2.2632
XLOC_001919,Ca_00170,Ca1:1357111-1360412,3.30506,2.52555,1.02561,1.55246,2.5503,2.62891,2.52579,1.70278
XLOC_001921,Ca_00171,Ca1:1401379-1407164,3.40601,2.24201,5.77978,1.33941,14.0143,6.88315,1.16065,4.16896
XLOC_000279,Ca_00172,Ca1:1416612-1421093,0.803994,0.770656,1.51959,0.742212,2.07073,2.16802,1.30782,1.4706
XLOC_000280,Ca_00173,Ca1:1422257-1426150,42.9995,11.4644,9.27379,8.57373,7.71597,4.21781,6.88055,7.76508
XLOC_000281,Ca_00174,Ca1:1427887-1437978,0.727834,1.55669,1.01496,0.635775,2.14581,2.19847,0.809711,1.28241
XLOC_001922,Ca_00175,Ca1:1427887-1437978,9.34743,5.91465,5.11619,7.63684,21.2529,21.5058,6.06327,8.91025
XLOC_001923,Ca_00176,Ca1:1441891-1442932,169.261,47.6316,40.8178,29.1913,11.1908,13.2821,17.9568,17.0642
XLOC_001924,Ca_00177,Ca1:1448986-1451208,106.318,29.9045,66.7141,90.1926,7.3553,15.4456,37.1601,44.7141
XLOC_000282,Ca_00178,Ca1:1454413-1463888,6.4075,4.17178,5.17331,2.96302,1.65206,2.26583,3.66935,3.10092
XLOC_000283,Ca_00179,Ca1:1464856-1470399,0.680079,0.831617,0.410915,0.345608,2.4444,1.30045,0.463257,0.836775
XLOC_001925,Ca_00180,Ca1:1464856-1470399,7.0094,2.55601,2.23234,3.07268,2.03134,1.42059,3.40903,2.7006
XLOC_000284,Ca_00181,Ca1:1481853-1483404,4.42363,2.24716,3.9668,9.31835,1.23292,2.10526,6.90969,7.78515
XLOC_000285,Ca_00182,Ca1:1484725-1490694,2.00483,1.10619,0.465084,0.849663,0.749771,1.52957,0.888256,1.16197
XLOC_000286,Ca_00183,Ca1:1495588-1496236,0.0,0.0,0.0,0.0,0.0739785,0.0,0.0,0.0130277
XLOC_001926,Ca_00184,Ca1:1504848-1510096,0.510575,0.363847,0.120379,0.169258,0.32912,0.504891,0.348398,0.375075
XLOC_001928,Ca_00185,Ca1:1526606-1529579,70.9052,24.4968,43.347,40.1331,24.8339,13.0463,29.1394,29.3178
XLOC_000287,Ca_00186,Ca1:1532848-1535540,1.04166,0.983464,1.27013,1.70107,0.909418,1.13507,0.600809,1.57889
XLOC_000288,Ca_00187,Ca1:1542369-1547707,16.4313,5.12653,5.10326,8.19352,3.99603,1.72022,4.39775,3.42083
XLOC_000289,Ca_00188,Ca1:1551710-1555783,0.656724,0.613046,0.918958,0.879151,2.6518,1.98995,2.07343,1.74516
XLOC_000290,Ca_00189,Ca1:1557963-1566108,2.42347,2.6779,1.86797,2.33802,4.03185,4.52537,5.72764,3.72677
XLOC_001929,Ca_00190,Ca1:1557963-1566108,0.0562934,0.359414,0.00334737,0.256396,0.0748919,0.210203,0.0752166,0.027545
XLOC_000291,Ca_00191,Ca1:1567321-1570348,0.0,0.0,0.0,0.0,0.0,0.00744961,0.0,0.0
XLOC_000292,Ca_00192,Ca1:1571820-1576439,3.67237,1.83368,1.30497,3.61694,1.24226,2.28295,1.18276,1.49536
XLOC_001930,Ca_00193,Ca1:1579230-1581948,0.100105,0.105873,0.0,0.0241035,0.0769352,0.204397,0.0698523,0.0472371
XLOC_000293,Ca_00194,Ca1:1583773-1587418,29.7939,7.22512,6.19595,11.3237,14.9437,8.00169,9.58633,8.06066
XLOC_000294,Ca_00195,Ca1:1592471-1592909,0.473921,0.479845,0.0,1.0472,1.62119,0.0690199,7.41125,0.267125
XLOC_000295,Ca_00196,Ca1:1604431-1604869,0.0,0.0287855,0.0,0.0,0.0469955,0.0,1.79267,1.24485
XLOC_000296,Ca_00197,Ca1:1607637-1608129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_001931,Ca_00198,Ca1:1614008-1614368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000297,Ca_00199,Ca1:1617815-1618259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000298,Ca_00200,Ca1:1625455-1625899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLOC_000299,Ca_00201,Ca1:1641982-1647994,5.60284,6.06507,18.4718,6.18686,10.8786,6.20778,4.22988,12.9623
XLOC_001932,Ca_00202,Ca1:1641982-1647994,29.5677,13.9032,10.7126,22.7745,8.89537,18.0145,33.5086,39.7821
XLOC_001933,Ca_00203,Ca1:1649632-1656721,2.61637,2.08749,0.0488481,0.949992,0.535811,0.648301,0.589706,0.219545
XLOC_000300,Ca_00204,Ca1:1660426-1662632,43.8098,29.6618,21.1706,24.5194,16.9541,13.7748,19.8097,21.1143
XLOC_001934,Ca_00205,Ca1:1664257-1666995,2.20401,1.21793,0.156532,1.86514,1.60697,1.78884,0.768718,0.968386
