Transcript id,LOC id
Ca_00128,LOC101513193
Ca_00129,LOC101514494
Ca_00130,LOC101515036
Ca_00131,LOC101515359
Ca_00132,LOC101515692
Ca_00133,LOC101488451
Ca_00134,LOC101489115
Ca_00135,LOC101489448
Ca_00136,LOC101490191
Ca_00137,LOC101490513
Ca_00138,LOC101490836
Ca_00139,LOC101491158
Ca_00140,LOC101503431
Ca_00141,LOC101491693
Ca_00142,LOC101492007
Ca_00143,LOC101503769
Ca_00145,LOC101504722
Ca_00146,LOC101492343
Ca_00147,LOC101493012
Ca_00148,LOC101505047
Ca_00149,LOC101493345
Ca_00150,LOC101493666
Ca_00151,LOC101493980
Ca_00153,LOC101494925
Ca_00154,LOC101495259
Ca_00155,LOC101495579
Ca_00156,LOC101495907
Ca_00157,LOC101496239
Ca_00158,LOC101496564
Ca_00159,LOC101505699
Ca_00160,LOC101496888
Ca_00161,LOC101497217
Ca_00163,LOC113785753
Ca_00164,LOC101497545
Ca_00165,LOC101497879
Ca_00166,UGT78K3
Ca_00167,LOC101498525
Ca_00168,LOC101498868
Ca_00169,LOC101499189
Ca_00170,LOC101499511
Ca_00171,LOC101500565
Ca_00172,LOC101500878
Ca_00173,LOC101502051
Ca_00174,LOC101502379
Ca_00175,LOC101502682
Ca_00177,LOC101503649
Ca_00178,LOC101503974
Ca_00179,LOC101504291
Ca_00180,LOC101504623
Ca_00181,LOC101505152
Ca_00182,LOC101505468
Ca_00183,LOC101506995
Ca_00184,LOC101505805
Ca_00185,LOC101506336
Ca_00186,LOC101506885
Ca_00187,LOC101507431
Ca_00188,LOC101507738
Ca_00189,LOC101508061
Ca_00190,LOC101508378
Ca_00191,LOC101508894
Ca_00192,LOC101509432
Ca_00193,LOC101509759
Ca_00194,LOC101510079
Ca_00195,LOC101507323
Ca_00196,LOC101510405
Ca_00197,LOC101510732
Ca_00198,LOC105852683
Ca_00199,LOC101511055
Ca_00200,LOC101511363
Ca_00201,LOC101511691
Ca_00202,LOC101512012
Ca_00203,LOC101512562
Ca_00204,LOC101512869
Ca_00205,LOC101513195
Ca_00206,LOC101513518
Ca_00207,LOC101513827
Ca_00208,LOC101514173
Ca_00209,LOC101514173
Ca_00210,LOC101514816
Ca_00211,LOC101515459
Ca_00212,LOC101488215
Ca_00213,LOC101488546
Ca_00214,LOC101489117
Ca_00215,LOC101489655
Ca_00216,LOC101489981
Ca_00217,LOC101507627
Ca_00218,LOC101490837
Ca_00219,LOC101490514
Ca_00220,LOC101491159
Ca_00221,LOC101491789
Ca_00222,LOC101492453
Ca_00223,LOC101492113
Ca_00224,LOC101493116
Ca_00225,LOC101493445
Ca_00226,LOC101493767
Ca_00227,LOC101507948
Ca_00228,LOC101494303
Ca_00229,LOC101494927
Ca_00230,LOC101508582
Ca_00231,LOC101495478
Ca_00232,LOC101495806
Ca_00233,LOC101496129
Ca_00235,LOC101508897
Ca_00236,LOC101496994
Ca_00237,LOC101497641
Ca_00238,LOC101498197
Ca_00239,LOC101509862
Ca_00240,LOC101498971
Ca_00241,LOC101499291
Ca_00242,LOC101499291
Ca_00243,LOC101499608
Ca_00244,LOC101500251
Ca_00245,LOC101500566
Ca_00246,LOC101500879
Ca_00247,LOC101501207
Ca_00248,LOC101502160
Ca_00249,LOC101501836
Ca_00250,LOC101501521
Ca_00251,LOC101502477
Ca_00252,LOC101502780
Ca_00253,LOC101503100
Ca_00254,LOC101503428
Ca_00255,LOC101504093
Ca_00256,LOC101503765
Ca_00257,LOC105851981
Ca_00258,LOC101504943
Ca_00259,LOC101503765
Ca_00260,LOC101504401
Ca_00261,LOC101510509
Ca_00262,LOC101503765
Ca_00263,LOC101505696
Ca_00264,LOC101505696
Ca_00265,LOC101506019
Ca_00266,LOC101507433
Ca_00267,LOC101507740
Ca_00268,LOC101508062
Ca_00269,LOC101508789
Ca_00270,LOC101509108
Ca_00271,LOC101509433
Ca_00273,LOC101510080
Ca_00274,LOC101510831
Ca_00275,LOC101500859
Ca_00276,LOC101511152
Ca_00277,LOC101511464
Ca_00278,LOC101512236
Ca_00279,LOC101512564
Ca_00280,LOC101512972
Ca_00281,LOC101513299
Ca_00282,LOC101513623
Ca_00283,LOC101513951
Ca_00284,LOC101513951
Ca_00285,LOC101514288
Ca_00286,LOC101514818
Ca_00287,LOC101515142
Ca_00288,LOC101488340
Ca_00289,LOC101488664
Ca_00290,LOC101489450
Ca_00291,LOC101489772
Ca_00292,LOC101490091
Ca_00293,LOC101509165
Ca_00294,LOC101490740
Ca_00295,LOC101491064
Ca_00296,LOC101491377
Ca_00297,LOC101491906
Ca_00298,LOC101492239
Ca_00299,LOC101492576
Ca_00300,LOC101492907
Ca_00301,LOC101493555
Ca_00302,LOC101493239
Ca_00303,LOC101493874
Ca_00304,LOC101494396
Ca_00305,LOC101494928
Ca_00306,LOC101495261
Ca_00307,LOC101495580
Ca_00308,LOC101495908
Ca_00309,LOC101496684
Ca_00310,LOC101496996
Ca_00311,LOC101497321
Ca_00312,LOC101497642
Ca_00313,LOC101497978
Ca_00314,LOC101498769
Ca_00315,LOC101511468
Ca_00316,LOC101500252
Ca_00317,LOC101500567
Ca_00318,LOC101500880
Ca_00319,LOC101501208
Ca_00320,LOC101501522
Ca_00321,LOC101501837
Ca_00322,LOC101502583
Ca_00323,LOC105851660
Ca_00324,LOC101503101
Ca_00325,LOC101503876
Ca_00326,LOC101504196
Ca_00327,LOC101504527
Ca_00328,LOC101504839
Ca_00329,LOC101505154
Ca_00330,LOC101511791
Ca_00331,LOC101508259
Ca_00332,LOC101508580
Ca_00333,LOC101508896
Ca_00334,LOC101509211
Ca_00335,LOC101509537
Ca_00336,LOC101509860
Ca_00337,LOC101510178
Ca_00338,LOC101510733
Ca_00339,LOC101511056
Ca_00340,LOC101511364
Ca_00341,LOC101511692
Ca_00342,LOC101512237
Ca_00343,LOC101512565
Ca_00344,NAC51
Ca_00345,LOC101513197
Ca_00346,LOC101511517
Ca_00347,ARF2
Ca_00348,LOC101515038
Ca_00349,LOC101515361
Ca_00350,UGT79B21
Ca_00351,LOC101512754
Ca_00352,LOC101488453
Ca_00353,LOC101488789
Ca_00354,LOC101489119
Ca_00355,LOC101489452
Ca_00356,LOC101489774
Ca_00357,LOC101490093
Ca_00358,LOC101490634
Ca_00359,LOC101490960
Ca_00360,LOC101491273
Ca_00361,LOC101491595
Ca_00362,LOC101492454
Ca_00363,LOC101491907
Ca_00364,LOC101492787
Ca_00365,LOC101493117
Ca_00366,LOC101513083
Ca_00367,LOC101493447
Ca_00368,LOC101494205
Ca_00369,LOC101494512
Ca_00370,LOC101494826
Ca_00371,LOC101495155
Ca_00372,LOC101495479
Ca_00373,LOC101496016
Ca_00374,LOC101496685
Ca_00375,LOC101496997
Ca_00376,LOC101497643
Ca_00377,LOC101497979
Ca_00378,LOC101498307
Ca_00379,LOC101495114
Ca_00380,LOC101513411
Ca_00381,LOC101513411
Ca_00382,LOC101498973
Ca_00383,LOC101499293
Ca_00384,LOC101510945
Ca_00385,LOC101499915
Ca_00386,LOC101500253
Ca_00387,LOC101500568
Ca_00388,LOC101514060
Ca_00389,LOC101500881
Ca_00390,LOC101501305
Ca_00391,LOC101501838
Ca_00392,LOC101502161
Ca_00393,LOC101502781
Ca_00394,LOC101503102
Ca_00395,LOC101503429
Ca_00396,LOC101504095
Ca_00397,LOC101503767
Ca_00398,LOC101504403
Ca_00399,LOC101514386
Ca_00400,LOC101506337
Ca_00401,LOC101506991
Ca_00402,LOC101506657
Ca_00403,LOC101507319
Ca_00404,LOC101508159
Ca_00405,LOC101507624
Ca_00406,LOC101508483
Ca_00407,LOC101508790
Ca_00408,LOC101509109
Ca_00409,LOC101514714
Ca_00410,LOC101509434
Ca_00411,LOC101509761
Ca_00412,LOC101510081
Ca_00413,LOC101510620
Ca_00414,LOC101511155
Ca_00415,LOC101511467
Ca_00416,LOC101512335
Ca_00417,LOC101512662
Ca_00418,LOC101515040
Ca_00419,LOC101512973
Ca_00420,LOC101513300
Ca_00421,LOC101513625
Ca_00422,LOC101513953
Ca_00423,LOC101514289
Ca_00424,LOC101514610
Ca_00425,LOC101514941
Ca_00426,LOC101515364
Ca_00427,LOC101515698
Ca_00428,HSFA4C
Ca_00429,LOC101515587
Ca_00430,LOC101488457
Ca_00431,LOC101488791
Ca_00432,LOC101489120
Ca_00433,LOC101489656
Ca_00434,LOC101489982
Ca_00435,LOC101490316
Ca_00436,LOC113783885
Ca_00437,LOC101490635
Ca_00438,LOC101490962
Ca_00439,LOC101491597
Ca_00440,LOC101491597
Ca_00441,LOC101492114
Ca_00442,LOC101489455
Ca_00443,LOC101492455
Ca_00444,LOC101492788
Ca_00445,LOC101493118
Ca_00446,LOC101489776
Ca_00447,LOC101495032
Ca_00448,LOC101490095
Ca_00449,LOC101495909
Ca_00450,LOC101495581
Ca_00451,LOC101490419
Ca_00452,LOC101496240
Ca_00453,LOC101496566
Ca_00454,LOC101497323
Ca_00455,LOC101497644
Ca_00456,LOC101497980
Ca_00457,LOC101498870
Ca_00458,LOC101497980
Ca_00459,LOC101499191
Ca_00460,LOC101499513
Ca_00461,LOC101499513
Ca_00462,LOC101499812
Ca_00463,LOC101500138
Ca_00464,LOC101491066
Ca_00465,LOC101500463
Ca_00466,LOC101501830
Ca_00467,ARF3
Ca_00468,LOC101501722
Ca_00469,LOC101502052
Ca_00470,LOC101502380
Ca_00471,LOC101502683
Ca_00472,LOC101503316
Ca_00473,LOC101502995
Ca_00474,LOC101503651
Ca_00475,LOC101504294
Ca_00476,LOC101504624
Ca_00477,LOC101504944
Ca_00478,LOC101505254
Ca_00479,LOC101505583
Ca_00480,LOC101505912
Ca_00481,LOC101506225
Ca_00482,LOC101507434
Ca_00483,LOC101509647
Ca_00484,LOC101509974
Ca_00485,LOC101510507
Ca_00486,LOC101510833
Ca_00487,LOC101491380
Ca_00488,LOC101511365
Ca_00489,LOC101491695
Ca_00490,LOC101511694
Ca_00491,LOC101512014
Ca_00492,LOC101512336
Ca_00493,LOC101512663
Ca_00494,LOC113787789
Ca_00495,LOC101512975
Ca_00496,LOC101513302
Ca_00497,LOC101513626
Ca_00498,LOC101514291
Ca_00499,LOC101492346
Ca_00500,LOC101514611
Ca_00501,LOC101492680
Ca_00502,LOC101515695
Ca_00503,LOC101514943
Ca_00504,LOC101488455
Ca_00505,LOC101493347
Ca_00506,LOC101488792
Ca_00507,LOC101489121
Ca_00508,LOC101489453
Ca_00509,LOC101489775
Ca_00510,LOC101490317
Ca_00512,LOC101490636
Ca_00513,LOC101494424
Ca_00514,LOC101493667
Ca_00515,LOC101490964
Ca_00516,LOC101491379
Ca_00517,LOC101492115
Ca_00518,LOC101492456
Ca_00519,LOC101492456
Ca_00520,LOC101493119
Ca_00521,LOC101493448
Ca_00522,LOC101493768
Ca_00523,LOC101494088
Ca_00524,LOC101494614
Ca_00525,LOC101494615
Ca_00526,LOC101493015
Ca_00527,LOC101495157
Ca_00528,LOC101495809
Ca_00529,LOC101495809
Ca_00530,LOC101496458
Ca_00531,LOC101496788
Ca_00532,LOC101497324
Ca_00533,LOC101497645
Ca_00534,LOC101498647
Ca_00535,LOC101498974
Ca_00536,LOC101499294
Ca_00537,LOC101500028
Ca_00538,LOC105851934
Ca_00539,LOC101500366
Ca_00540,LOC101500676
Ca_00541,LOC101494929
Ca_00542,LOC101500991
Ca_00543,LOC101501524
Ca_00544,LOC101501840
Ca_00545,LOC105851506
Ca_00546,LOC101502163
Ca_00547,LOC101495911
Ca_00548,LOC101495911
Ca_00549,LOC101496242
Ca_00550,LOC101502900
Ca_00551,LOC101503234
Ca_00552,LOC101503550
Ca_00553,LOC101496568
Ca_00554,LOC101504295
Ca_00555,LOC101505157
Ca_00556,LOC101505470
Ca_00557,LOC101497222
Ca_00558,LOC113787582
Ca_00559,LOC101505806
Ca_00560,LOC101506121
Ca_00561,LOC101497549
Ca_00562,LOC101506451
Ca_00564,LOC101507112
Ca_00565,LOC101507845
Ca_00566,LOC101507112
Ca_00567,LOC101508160
Ca_00568,LOC101508792
Ca_00569,LOC101509110
Ca_00570,LOC101509436
Ca_00571,LOC101509763
Ca_00572,LOC101510082
Ca_00573,LOC101510735
Ca_00574,LOC101512567
Ca_00575,LOC101512239
Ca_00576,LOC101497883
Ca_00577,LOC101498529
Ca_00578,LOC101511907
Ca_00579,LOC101511366
Ca_00580,LOC101511058
Ca_00581,LOC101488526
Ca_00582,LOC101512873
Ca_00583,LOC105851533
Ca_00584,LOC101513199
Ca_00585,LOC101513521
Ca_00586,LOC101514058
Ca_00587,LOC101514384
Ca_00588,LOC101515143
Ca_00589,LOC101515462
Ca_00590,LOC105852238
Ca_00591,LOC101498871
Ca_00592,LOC101488218
Ca_00593,LOC101488894
Ca_00594,LOC101489220
Ca_00595,LOC101489542
Ca_00596,LOC101489859
Ca_00597,LOC101490192
Ca_00598,LOC101490515
Ca_00599,LOC101490838
Ca_00600,LOC101491160
Ca_00601,LOC101491476
Ca_00602,LOC101492242
Ca_00603,LOC101492580
Ca_00604,LOC101493242
Ca_00605,LOC101493769
Ca_00606,LOC101494089
Ca_00607,LOC101494397
Ca_00608,LOC101494709
Ca_00609,LOC101495262
Ca_00610,LOC101495582
Ca_00611,LOC101495910
Ca_00612,LOC101496241
Ca_00613,LOC101500992
Ca_00614,LOC101497221
Ca_00615,LOC101496892
Ca_00616,LOC101497548
Ca_00617,LOC101497882
Ca_00618,LOC101498200
Ca_00619,LOC101498772
Ca_00620,LOC101499096
Ca_00621,LOC101499412
Ca_00622,LOC101493616
Ca_00623,LOC101499717
Ca_00624,LOC101500367
Ca_00625,LOC101500779
Ca_00626,LOC101500677
Ca_00627,LOC101503585
Ca_00628,LOC101500992
Ca_00629,LOC101494709
Ca_00631,LOC105851979
Ca_00632,LOC101501937
Ca_00633,LOC101501724
Ca_00634,LOC101502269
Ca_00635,LOC101502783
Ca_00636,LOC101503104
Ca_00637,LOC101502053
Ca_00638,LOC101503430
Ca_00639,LOC101513676
Ca_00640,LOC101503977
Ca_00641,LOC101504296
Ca_00642,LOC101504625
Ca_00643,LOC101505158
Ca_00644,LOC101505471
Ca_00645,LOC101502381
Ca_00646,LOC101505807
Ca_00647,LOC101502684
Ca_00648,LOC101506122
Ca_00649,LOC101506452
Ca_00650,LOC101506777
Ca_00651,LOC101502996
Ca_00652,LOC101498526
Ca_00654,LOC101503317
Ca_00655,AP2
Ca_00656,LOC101508161
Ca_00657,LOC101508793
Ca_00658,LOC101508484
Ca_00659,LOC101509437
Ca_00660,LOC101503979
Ca_00661,LOC101509764
Ca_00662,LOC101510083
Ca_00663,LOC101504299
Ca_00664,LOC101510407
Ca_00665,LOC101511259
Ca_00666,LOC101510736
Ca_00667,LOC101511909
Ca_00668,LOC101512241
Ca_00669,LOC101512569
Ca_00670,LOC101512874
Ca_00671,LOC101513200
Ca_00672,LOC101513522
Ca_00673,LOC101514175
Ca_00674,LOC101513829
Ca_00675,LOC113784682
Ca_00676,LOC101514499
Ca_00677,ACO1
Ca_00678,LOC101515144
Ca_00679,LOC101515463
Ca_00680,LOC101488219
Ca_00681,LOC101488895
Ca_00682,LOC101489221
Ca_00683,LOC101489543
Ca_00684,LOC101489860
Ca_00685,LOC101490193
Ca_00686,LOC101505256
Ca_00687,LOC101490516
Ca_00688,LOC101490839
Ca_00689,LOC101491601
Ca_00690,LOC101491911
Ca_00691,LOC101492244
Ca_00692,LOC101492789
Ca_00693,LOC101493771
Ca_00695,LOC101494399
Ca_00696,LOC101495034
Ca_00697,LOC101495362
Ca_00698,LOC101496018
Ca_00699,LOC101496357
Ca_00700,LOC101496687
Ca_00701,LOC101496998
Ca_00702,LOC101501577
Ca_00703,LOC101501888
Ca_00704,LOC101502216
Ca_00705,LOC101502537
Ca_00706,LOC101502847
Ca_00707,LOC101503922
Ca_00708,LOC101504242
Ca_00709,LOC101507173
Ca_00710,LOC101505514
Ca_00711,LOC101507490
Ca_00712,LOC101506073
Ca_00713,LOC101506388
Ca_00714,LOC101506721
Ca_00715,LOC105851293
Ca_00716,LOC101509454
Ca_00718,LOC101511312
Ca_00719,LOC101507578
Ca_00720,LOC101508748
Ca_00721,LOC101507894
Ca_00722,LOC101508638
Ca_00723,LOC101508956
Ca_00724,LOC101511312
Ca_00725,LOC101509269
Ca_00726,LOC101509812
Ca_00727,LOC101510567
Ca_00728,UGT73C15
Ca_00729,LOC113785695
Ca_00730,LOC101512166
Ca_00731,LOC101511853
Ca_00732,LOC101512705
Ca_00733,LOC101511637
Ca_00734,LOC101513252
Ca_00735,LOC101513580
Ca_00736,LOC101513895
Ca_00737,LOC101514439
Ca_00738,LOC101514762
Ca_00739,LOC101515086
Ca_00740,LOC101515641
Ca_00741,LOC101488395
Ca_00742,LOC101488722
Ca_00743,LOC101489923
Ca_00744,LOC101490256
Ca_00745,LOC101490788
Ca_00746,LOC101491844
Ca_00747,LOC101492177
Ca_00748,LOC101492516
Ca_00749,RPL24
Ca_00750,LOC101493178
Ca_00751,LOC101493499
Ca_00752,LOC101494258
Ca_00753,LOC101511963
Ca_00754,LOC101494569
Ca_00755,LOC101494883
Ca_00756,LOC101495208
Ca_00757,LOC101495759
Ca_00758,LOC101496080
Ca_00759,LOC101496740
Ca_00760,LOC101496408
Ca_00761,LOC101497047
Ca_00762,LOC101497382
Ca_00763,LOC101497715
Ca_00764,LOC101498250
Ca_00765,LOC101498584
Ca_00766,LOC101498919
Ca_00767,LOC101499242
Ca_00768,LOC101512292
Ca_00769,LOC101499859
Ca_00770,LOC101490977
Ca_00771,LOC101500193
Ca_00772,LOC101500728
Ca_00773,LOC101501037
Ca_00774,LOC101494424
Ca_00775,LOC101501889
Ca_00776,LOC101501889
Ca_00777,LOC101501578
Ca_00778,LOC101501889
Ca_00779,LOC101502217
Ca_00780,LOC101502538
Ca_00781,LOC101502848
Ca_00782,LOC101503167
Ca_00783,LOC101503822
Ca_00784,LOC101503486
Ca_00785,LOC101504781
Ca_00786,LOC101505098
Ca_00787,LOC101514241
Ca_00788,LOC101514241
Ca_00789,LOC101505755
Ca_00790,TFL1A
Ca_00791,LOC101506390
Ca_00792,LOC101507167
Ca_00793,LOC101507484
Ca_00794,LOC101508117
Ca_00795,LOC101507796
Ca_00796,LOC101508529
Ca_00797,LOC101508842
Ca_00798,LOC101509385
Ca_00799,LOC101510234
Ca_00800,LOC101510568
Ca_00801,LOC101511634
Ca_00802,LOC101511310
Ca_00803,LOC101512167
Ca_00804,LOC101512495
Ca_00805,LOC101512809
Ca_00806,LOC101513896
Ca_00807,LOC101513581
Ca_00808,LOC101515087
Ca_00809,LOC101515411
Ca_00810,LOC101515746
Ca_00811,LOC101488848
Ca_00812,LOC101489170
Ca_00813,LOC101489501
Ca_00814,LOC101489818
Ca_00815,LOC101490142
Ca_00816,LOC101490465
Ca_00817,LOC101490790
Ca_00818,NAC28
Ca_00819,LOC101492291
Ca_00820,LOC101491958
Ca_00821,LOC101492629
Ca_00822,LOC101493179
Ca_00823,LOC101514556
Ca_00824,LOC101493500
Ca_00825,LOC101494041
Ca_00826,LOC101494766
Ca_00827,LOC101495097
Ca_00828,LOC101495425
Ca_00829,LOC101495760
Ca_00830,LOC101496081
Ca_00831,LOC101496409
Ca_00832,LOC101496741
Ca_00833,LOC101497048
Ca_00834,LOC101497383
Ca_00835,LOC101497716
Ca_00836,LOC101498037
Ca_00837,LOC101498373
Ca_00838,LOC101499038
Ca_00839,LOC101498714
Ca_00840,LOC101499562
Ca_00841,LOC101500088
Ca_00842,LOC101504571
Ca_00843,LOC101500729
Ca_00844,LOC101501038
Ca_00845,LOC101514882
Ca_00846,LOC101501355
Ca_00847,LOC101515208
Ca_00848,LOC101501676
Ca_00851,LOC113785665
Ca_00852,LOC101501991
Ca_00853,LOC101495317
Ca_00854,LOC101502630
Ca_00855,LOC101502949
Ca_00856,LOC101488282
Ca_00857,LOC101503276
Ca_00858,LOC101515230
Ca_00859,LOC101503601
Ca_00860,LOC101503925
Ca_00861,LOC101504462
Ca_00862,LOC101504782
Ca_00863,LOC101505099
Ca_00864,LOC101505421
Ca_00865,LOC101505756
Ca_00866,LOC101506076
Ca_00867,LOC101506391
Ca_00868,LOC101506722
Ca_00869,LOC101507058
Ca_00870,LOC101507895
Ca_00871,LOC101507895
Ca_00872,LOC101507374
Ca_00873,LOC101508435
Ca_00874,LOC101506156
Ca_00875,LOC101508746
Ca_00876,LOC101509061
Ca_00877,LOC101509588
Ca_00878,LOC101510235
Ca_00879,LOC113785840
Ca_00880,LOC101488959
Ca_00881,LOC101511416
Ca_00882,LOC101511748
Ca_00883,LOC101495279
Ca_00884,LOC101513139
Ca_00885,LOC101513139
Ca_00886,LOC101513466
Ca_00887,LOC101513774
Ca_00888,LOC101514115
Ca_00889,LOC101514440
Ca_00890,LOC101514764
Ca_00891,LOC101514764
Ca_00892,LOC101515089
Ca_00893,LOC101489285
Ca_00894,LOC101515747
Ca_00895,LOC101488510
Ca_00896,LOC101489280
Ca_00897,LOC101489606
Ca_00898,LOC101489930
Ca_00899,LOC101489930
Ca_00900,LOC101489930
Ca_00901,LOC101490581
Ca_00902,LOC101489924
Ca_00903,LOC101490257
Ca_00904,LOC101490576
Ca_00905,LOC101491327
Ca_00906,LOC101491650
Ca_00907,LOC101491960
Ca_00908,LOC101492293
Ca_00909,LOC101492631
Ca_00911,LOC101493297
Ca_00912,LOC101493618
Ca_00913,LOC101493935
Ca_00914,LOC101494259
Ca_00915,LOC101494570
Ca_00916,LOC101494886
Ca_00917,LOC101495426
Ca_00918,LOC101495959
Ca_00919,LOC101496295
Ca_00920,LOC101496624
Ca_00921,LOC101496943
Ca_00922,LOC101497273
Ca_00923,LOC101497598
Ca_00924,LOC101497931
Ca_00925,LOC101498479
Ca_00926,LOC101498827
Ca_00927,LOC101499146
Ca_00928,LOC101500194
Ca_00929,LOC101499860
Ca_00930,LOC101500507
Ca_00931,LOC101500829
Ca_00932,LOC101501158
Ca_00933,LOC101501469
Ca_00934,LOC101501787
Ca_00935,LOC101502110
Ca_00936,LOC101502431
Ca_00937,LOC101503168
Ca_00938,LOC101503487
Ca_00939,LOC101503823
Ca_00940,LOC101504783
Ca_00941,LOC101505100
Ca_00942,LOC101505423
Ca_00943,LOC101505978
Ca_00944,LOC101506286
Ca_00945,LOC101506607
Ca_00946,LOC101506941
Ca_00947,LOC101490901
Ca_00948,LOC101507580
Ca_00949,LOC101507896
Ca_00950,LOC101508205
Ca_00951,LOC101508530
Ca_00952,LOC101508843
Ca_00953,LOC101509166
Ca_00954,LOC101509815
Ca_00955,LOC101510570
Ca_00956,LOC101510893
Ca_00957,LOC101511207
Ca_00958,LOC101511529
Ca_00959,LOC101511855
Ca_00960,LOC101512168
Ca_00961,LOC101512497
Ca_00962,LOC101512811
Ca_00963,LOC101513141
Ca_00964,LOC101491540
Ca_00965,LOC101513776
Ca_00966,LOC101514116
Ca_00967,LOC101491846
Ca_00968,LOC101514663
Ca_00969,LOC101514990
Ca_00970,LOC101515317
Ca_00971,LOC101515642
Ca_00972,LOC101488396
Ca_00973,LOC101488724
Ca_00974,LOC101488632
Ca_00975,LOC101489391
Ca_00976,LOC101489717
Ca_00977,LOC101490034
Ca_00978,LOC101490578
Ca_00979,LOC101490898
Ca_00980,LOC101491961
Ca_00981,LOC101491431
Ca_00982,LOC101492517
Ca_00983,LOC101492847
Ca_00984,LOC101511868
Ca_00985,LOC101493396
Ca_00986,LOC101493720
Ca_00987,LOC101494260
Ca_00988,LOC101513928
Ca_00989,LOC101494577
Ca_00990,LOC101495308
Ca_00991,LOC101495856
Ca_00992,LOC101496184
Ca_00993,LOC101510036
Ca_00994,LOC101496512
Ca_00995,LOC101497170
Ca_00996,LOC101493817
Ca_00997,LOC101497500
Ca_00998,LOC101497836
Ca_00999,LOC101499148
Ca_01000,LOC101498829
Ca_01001,LOC101498481
Ca_01002,LOC101499469
Ca_01003,LOC101499969
Ca_01004,LOC101500317
Ca_01005,LOC101500634
Ca_01006,LOC101500939
Ca_01007,LOC101501470
Ca_01008,LOC101494145
Ca_01009,LOC101494454
Ca_01010,LOC101501992
Ca_01011,LOC101502320
Ca_01012,LOC101502631
Ca_01013,LOC101502950
Ca_01014,LOC101503277
Ca_01015,LOC101503824
Ca_01016,LOC101504141
Ca_01017,LOC101504893
Ca_01018,LOC101495104
Ca_01019,LOC101495434
